title,release_year,decade,primary_genre,budget_tier,budget,revenue,roi,imdb_rating,tomatometer_rating,audience_rating
Toy Story,1995,1990s,Animation,High,30000000.0,373554033.0,1145.18011,8.3,100.0,92.0
Jumanji,1995,1990s,Adventure,Blockbuster,65000000.0,262797249.0,304.30346,7.1,55.0,62.0
Waiting to Exhale,1995,1990s,Comedy,Mid,16000000.0,81452156.0,409.075975,6.1,56.0,79.0
Heat,1995,1990s,Action,Blockbuster,60000000.0,187436818.0,212.39469666666668,8.3,17.0,26.0
Sudden Death,1995,1990s,Action,High,35000000.0,64350171.0,83.85763142857144,5.9,50.0,39.0
GoldenEye,1995,1990s,Adventure,Blockbuster,58000000.0,352194034.0,507.2310931034483,7.2,78.0,83.0
The American President,1995,1990s,Comedy,Blockbuster,62000000.0,107879496.0,73.9991870967742,6.9,91.0,77.0
Nixon,1995,1990s,History,Blockbuster,44000000.0,13681765.0,-68.90507954545456,7.0,74.0,74.0
Cutthroat Island,1995,1990s,Action,Blockbuster,98000000.0,10017322.0,-89.77824285714286,5.7,38.0,40.0
Casino,1995,1990s,Drama,Blockbuster,52000000.0,116112375.0,123.29302884615385,8.2,80.0,93.0
Sense and Sensibility,1995,1990s,Drama,Mid,16500000.0,135000000.0,718.1818181818181,7.7,,
Four Rooms,1995,1990s,Crime,Low,4000000.0,4300000.0,7.5,6.7,13.0,69.0
Ace Ventura: When Nature Calls,1995,1990s,Crime,High,30000000.0,212385533.0,607.9517766666667,6.4,,
Money Train,1995,1990s,Action,Blockbuster,60000000.0,35431113.0,-40.948145,5.7,22.0,29.0
Get Shorty,1995,1990s,Comedy,High,30250000.0,115101622.0,280.5012297520661,6.9,88.0,70.0
Assassins,1995,1990s,Action,Blockbuster,50000000.0,30303072.0,-39.393856,6.3,16.0,45.0
Leaving Las Vegas,1995,1990s,Drama,Low,3600000.0,49800000.0,1283.3333333333337,7.5,91.0,85.0
Now and Then,1995,1990s,Comedy,Mid,12000000.0,27400000.0,128.33333333333334,6.8,32.0,82.0
The City of Lost Children,1995,1990s,Fantasy,High,18000000.0,1738611.0,-90.34105,7.4,,
Twelve Monkeys,1995,1990s,Science Fiction,High,29500000.0,168840000.0,472.33898305084745,8.0,,
Babe,1995,1990s,Fantasy,High,30000000.0,254134910.0,747.1163666666666,6.9,97.0,67.0
Dead Man Walking,1995,1990s,Drama,Mid,11000000.0,39363635.0,257.8512272727273,7.5,95.0,86.0
Mortal Kombat,1995,1990s,Action,High,18000000.0,122195920.0,578.8662222222223,5.8,48.0,57.0
To Die For,1995,1990s,Fantasy,High,20000000.0,21284514.0,6.42257,6.8,88.0,65.0
How To Make An American Quilt,1995,1990s,Drama,Mid,10000000.0,23574130.0,135.7413,6.3,61.0,63.0
Se7en,1995,1990s,Crime,High,33000000.0,327311859.0,891.8541181818181,8.6,,
Pocahontas,1995,1990s,Adventure,Blockbuster,55000000.0,346079773.0,529.2359509090909,6.7,55.0,64.0
The Usual Suspects,1995,1990s,Drama,Low,6000000.0,23341568.0,289.0261333333333,8.5,89.0,96.0
Mighty Aphrodite,1995,1990s,Comedy,Mid,15000000.0,6700000.0,-55.333333333333336,7.0,,
Friday,1995,1990s,Comedy,Low,3500000.0,28215918.0,706.1690857142856,7.2,78.0,91.0
From Dusk Till Dawn,1996,1990s,Horror,High,19000000.0,25836616.0,35.982189473684215,7.2,62.0,76.0
Fair Game,1995,1990s,Action,Blockbuster,50000000.0,11534477.0,-76.93104600000001,4.4,12.0,14.0
Big Bully,1996,1990s,Comedy,Mid,15000000.0,2042530.0,-86.38313333333333,4.8,0.0,19.0
Screamers,1995,1990s,Horror,High,20000000.0,5781885.0,-71.090575,6.3,28.0,45.0
Things to Do in Denver When You're Dead,1995,1990s,Drama,Mid,8000000.0,529766.0,-93.377925,6.7,33.0,72.0
White Squall,1996,1990s,Action,High,38000000.0,10300000.0,-72.89473684210527,6.6,58.0,65.0
Nick of Time,1995,1990s,Crime,Mid,8169363.0,8175346.0,0.0732370443081057,6.3,32.0,47.0
Mary Reilly,1996,1990s,Drama,Blockbuster,47000000.0,12379402.0,-73.66084680851064,5.8,26.0,40.0
Vampire in Brooklyn,1995,1990s,Comedy,Mid,14000000.0,19800000.0,41.42857142857143,4.7,12.0,31.0
Broken Arrow,1996,1990s,Action,Blockbuster,50000000.0,150270147.0,200.540294,6.1,89.0,70.0
Bottle Rocket,1996,1990s,Comedy,Mid,7000000.0,560069.0,-91.99901428571428,6.9,85.0,80.0
Happy Gilmore,1996,1990s,Comedy,Mid,12000000.0,41205099.0,243.375825,7.0,61.0,85.0
The Bridges of Madison County,1995,1990s,Drama,High,24000000.0,182016617.0,658.4025708333332,7.6,90.0,87.0
Braveheart,1995,1990s,Action,Blockbuster,72000000.0,210000000.0,191.66666666666669,8.3,78.0,85.0
Taxi Driver,1976,1970s,Crime,Low,1300000.0,28262574.0,2074.0441538461537,8.2,96.0,93.0
Rumble in the Bronx,1995,1990s,Crime,Mid,7500000.0,32392047.0,331.89396,6.8,80.0,65.0
Steal Big Steal Little,1995,1990s,Comedy,High,25000000.0,6278139.0,-74.887444,4.7,,
Boomerang,1992,1990s,Comedy,High,40000000.0,70100000.0,75.25,5.7,43.0,59.0
Flirting with Disaster,1996,1990s,Comedy,Mid,7000000.0,14702438.0,110.03482857142856,6.7,87.0,69.0
Jade,1995,1990s,Action,Blockbuster,50000000.0,9851610.0,-80.29678,5.4,14.0,27.0
The Birdcage,1996,1990s,Comedy,High,31000000.0,185260553.0,497.6146870967742,7.3,80.0,81.0
Bad Boys,1995,1990s,Action,High,19000000.0,141407024.0,644.2474947368421,6.8,42.0,78.0
An Awfully Big Adventure,1995,1990s,Romance,Low,4000000.0,851545.0,-78.71137499999999,5.8,36.0,56.0
Apollo 13,1995,1990s,Drama,Blockbuster,52000000.0,355237933.0,583.1498711538462,7.7,96.0,87.0
Rob Roy,1995,1990s,Adventure,High,28000000.0,31596911.0,12.846110714285713,6.9,,
Batman Forever,1995,1990s,Action,Blockbuster,100000000.0,336529144.0,236.529144,5.5,39.0,32.0
Blue in the Face,1995,1990s,Comedy,Low,2000000.0,1275000.0,-36.25,6.6,41.0,76.0
Canadian Bacon,1995,1990s,Action,Mid,11000000.0,178104.0,-98.38087272727272,5.9,14.0,52.0
Casper,1995,1990s,Fantasy,Blockbuster,50000000.0,287928194.0,475.856388,6.2,51.0,49.0
Clockers,1995,1990s,Mystery,High,25000000.0,13071518.0,-47.713928,6.9,71.0,74.0
Congo,1995,1990s,Action,Blockbuster,50000000.0,152022101.0,204.044202,5.3,22.0,29.0
Crimson Tide,1995,1990s,Action,Blockbuster,53000000.0,157387195.0,196.9569716981132,7.4,88.0,83.0
Desperado,1995,1990s,Thriller,Mid,7000000.0,25405445.0,262.93492857142854,7.1,,
Devil in a Blue Dress,1995,1990s,Drama,High,27000000.0,16140822.0,-40.21917777777777,6.8,88.0,70.0
